Point Name,Line,Location,Terminal,Point Name,trend,count,Type,Contains Outliers
(CLX AVIATION) SOUTH TC&C DC-17  M29T2i1,,,(CLX AVIATION) STATION M29T2 ,(CLX AVIATION) SOUTH TC&C DC-17  M29T2i1,"1,2,2,3",8,,False
(CLX AVIATION) SOUTH TC&C DC-17 DR  M29T2D1,,,(CLX AVIATION) STATION M29T2 ,(CLX AVIATION) SOUTH TC&C DC-17 DR  M29T2D1,"1,2,2,3",8,,False
(CLX AVIATION) TC & C BATTERY ROOM  M29T1m1i8,,,(CLX AVIATION)  INPUT MODULE 1 M29T,(CLX AVIATION) TC & C BATTERY ROOM  M29T1m1i8,"3,1,1",5,,False
(CLX BRYNHURST) CROSS HOUSE DR  M16T1D1,,,(CLX BRYNHURST) CROSS HOUSE M16T1 ,(CLX BRYNHURST) CROSS HOUSE DR  M16T1D1,2,2,,False
(CLX COLINA) JANITORS CLST  M21T2 i4,,,(CLX COLINA) TC & C DR M21T2,(CLX COLINA) JANITORS CLST  M21T2 i4,"101,73,20",194,,False
(CLX COLINA) MENS RESTROOM  M21T2 i2,,,(CLX COLINA) TC & C DR M21T2 ,(CLX COLINA) MENS RESTROOM  M21T2 i2,"3,8,2,18,157,94,5,41",328,,True
(CLX COLINA) PLTFRM N ELEC CLST  M21T1i3,,,(CLX COLINA) TC & C #7 M21T1,(CLX COLINA) PLTFRM N ELEC CLST  M21T1i3,1,1,,False
(CLX COLINA) WOMENS RESTROOM  M21T1i4,,,(CLX COLINA) TC & C #7 M21T1 ,(CLX COLINA) WOMENS RESTROOM  M21T1i4,"5,11,13,3,26,38,12",108,,True
(CLX D16 ) DIVISION-16 TC & C DR  M4T1D1,,,(CLX D16 ) DIVISION-16 TC & C M4T1 ,(CLX D16 ) DIVISION-16 TC & C DR  M4T1D1,"1,3,4,1,2,1",12,,False
(CLX EXPO) CR-01 DR  M33T14D1,,,(CLX EXPO) M33T14 ,(CLX EXPO) CR-01 DR  M33T14D1,"8,2,2,1,1",14,,True
(CLX EXPO) CR-02 TPSS DR  M33T1D1,,,(CLX EXPO) M33T1 ,(CLX EXPO) CR-02 TPSS DR  M33T1D1,"2,1,1,1",5,,False
(CLX EXPO) CR-03 DR  M33T11D1,,,(CLX EXPO) M33T11 ,(CLX EXPO) CR-03 DR  M33T11D1,"1,2,1,2,5",11,,True
(CLX EXPO) CR-04 TC&C  M33T1D2,,,(CLX EXPO) M33T1 ,(CLX EXPO) CR-04 TC&C  M33T1D2,"5,1,3,2",11,,False
(CLX EXPO) CR-06 DR  M33T4D1,,,(CLX EXPO) M33T4 ,(CLX EXPO) CR-06 DR  M33T4D1,"2,2",4,,False
(CLX EXPO) CR-08 DR  M33T7D1,,,(CLX EXPO) M33T7 ,(CLX EXPO) CR-08 DR  M33T7D1,"25,1,8,1,2",37,,True
(CLX EXPO) CR-09 DR  M33T7D2,,,(CLX EXPO) M33T7 ,(CLX EXPO) CR-09 DR  M33T7D2,"1,4,2",7,,False
(CLX EXPO) CR-10 DR  M33T8D1,,,(CLX EXPO) M33T8,(CLX EXPO) CR-10 DR  M33T8D1,"3,3",6,,False
(CLX EXPO) CR-11 DR  M33T3D1,,,(CLX EXPO) M33T3 ,(CLX EXPO) CR-11 DR  M33T3D1,"5,34,2,27,3,56",127,,False
(CLX EXPO) CR-12 DR  M33T8D2,,,(CLX EXPO) M33T8 ,(CLX EXPO) CR-12 DR  M33T8D2,"38,13,4",55,,False
(CLX EXPO) DC-02  M33T14i1,,,(CLX EXPO) M33T14 ,(CLX EXPO) DC-02  M33T14i1,2,2,,False
(CLX EXPO) DC-06  M33T15i2,,,CLX (EXPO) M33T15,(CLX EXPO) DC-06  M33T15i2,4,4,,False
(CLX EXPO) DC-08 CR-01  M33T14i2,,,(CLX EXPO) M33T14 ,(CLX EXPO) DC-08 CR-01  M33T14i2,"8,2,2,2,1,1",16,,True
(CLX EXPO) DC-09  M33T12i1,,,(CLX EXPO) M33T12 ,(CLX EXPO) DC-09  M33T12i1,"1,1,4,2",8,,False
(CLX EXPO) DC-09 DR  M33T12D1,,,(CLX EXPO) M33T12 ,(CLX EXPO) DC-09 DR  M33T12D1,"1,1,4,2",8,,False
(CLX EXPO) DC-10  M33T13i1,,,(CLX EXPO) M33T13 ,(CLX EXPO) DC-10  M33T13i1,"1,2,2",5,,False
(CLX EXPO) DC-10 DR  M33T13D1,,,(CLX EXPO) M33T13 ,(CLX EXPO) DC-10 DR  M33T13D1,"1,2,2",5,,False
(CLX EXPO) DC-12  M33T3i1,,,(CLX EXPO) M33T3 ,(CLX EXPO) DC-12  M33T3i1,"2,2,25,3,8",40,,True
(CLX EXPO) DC-13 CR-03  M33T11i2,,,(CLX EXPO) M33T11 ,(CLX EXPO) DC-13 CR-03  M33T11i2,"1,2,1,7,2,5",18,,False
(CLX EXPO) DC-14  M33T9i1,,,(CLX EXPO) M33T9,(CLX EXPO) DC-14  M33T9i1,"1,1",2,,False
(CLX EXPO) DC-14 DR  M33T9D1,,,(CLX EXPO) M33T9,(CLX EXPO) DC-14 DR  M33T9D1,"1,1",2,,False
(CLX EXPO) DC-15  M33T10i1,,,(CLX EXPO) M33T10,(CLX EXPO) DC-15  M33T10i1,"1,1",2,,False
(CLX EXPO) DC-15 DR  M33T10D1,,,(CLX EXPO) M33T10,(CLX EXPO) DC-15 DR  M33T10D1,"1,1",2,,False
(CLX EXPO) DC-16  M33T11i1,,,(CLX EXPO) M33T11 ,(CLX EXPO) DC-16  M33T11i1,"3,2",5,,False
(CLX EXPO) DC-17  M33T11i4,,,(CLX EXPO) M33T11 ,(CLX EXPO) DC-17  M33T11i4,"1,2",3,,False
(CLX EXPO) DC-18  M33T11i3,,,(CLX EXPO) M33T11 ,(CLX EXPO) DC-18  M33T11i3,"6,1",7,,False
(CLX EXPO) DC-19  M33T11m1i8,,,(CLX EXPO) INPUT MODULE 1  M33T11M1,(CLX EXPO) DC-19  M33T11m1i8,"1,1",2,,False
(CLX EXPO) DC-20  M33T11m1i7,,,(CLX EXPO) INPUT MODULE 1  M33T11M1,(CLX EXPO) DC-20  M33T11m1i7,"1,1",2,,False
(CLX EXPO) DC-22  M33T1i1,,,(CLX EXPO) M33T1 ,(CLX EXPO) DC-22  M33T1i1,"8,2,3,1",14,,False
(CLX EXPO) DC-23  M33T1i2,,,(CLX EXPO) M33T1 ,(CLX EXPO) DC-23  M33T1i2,"4,1,1,3,2",11,,False
(CLX EXPO) DC-24  M33T1i4,,,(CLX EXPO) M33T1 ,(CLX EXPO) DC-24  M33T1i4,"4,2",6,,False
(CLX EXPO) DC-25  M33T1i3,,,(CLX EXPO) M33T1 ,(CLX EXPO) DC-25  M33T1i3,"2,1",3,,False
(CLX EXPO) DC-27  M33T4i1,,,(CLX EXPO) M33T4 ,(CLX EXPO) DC-27  M33T4i1,"20,2",22,,False
(CLX EXPO) DC-29  M33T4i2,,,(CLX EXPO) M33T4 ,(CLX EXPO) DC-29  M33T4i2,"20,6,1",27,,False
(CLX EXPO) DC-30  M33T3i2,,,(CLX EXPO) M33T3 ,(CLX EXPO) DC-30  M33T3i2,"10,1",11,,False
(CLX EXPO) DC-36  M33T7i1,,,(CLX EXPO) M33T7 ,(CLX EXPO) DC-36  M33T7i1,"14,2",16,,False
(CLX EXPO) DC-38  M33T3m1i1,,,(CLX EXPO) INPUT MODULE M33T3M1,(CLX EXPO) DC-38  M33T3m1i1,"2,41,2,3,8",56,,True
(CLX EXPO) DC-39  M33T3i3,,,(CLX EXPO) M33T3,(CLX EXPO) DC-39  M33T3i3,2,2,,False
(CLX EXPO) DC-40 CR-11  M33T3i4,,,(CLX EXPO) M33T3 ,(CLX EXPO) DC-40 CR-11  M33T3i4,"5,32,2,27,3,56",125,,False
(CLX EXPO) DC-42  M33T7i2,,,(CLX EXPO) M33T7 ,(CLX EXPO) DC-42  M33T7i2,"4,1,9,1",15,,False
(CLX EXPO) DC-45  M33T7i3,,,(CLX EXPO) M33T7 ,(CLX EXPO) DC-45  M33T7i3,"1,1",2,,False
(CLX EXPO) DC-46  M33T8i1,,,(CLX EXPO) M33T8 ,(CLX EXPO) DC-46  M33T8i1,"46,1,5,1,2",55,,True
(CLX EXPO) DC-47 HATCH  M33T6i3,,,(CLX EXPO) M33T6 ,(CLX EXPO) DC-47 HATCH  M33T6i3,"2,6",8,HATCH,False
(CLX EXPO) DC-48 MAN DOOR  M33T8i4,,,(CLX EXPO) M33T8 ,(CLX EXPO) DC-48 MAN DOOR  M33T8i4,"13,9,3,21,7,8",61,,True
(CLX EXPO) DC-49  M33T2i4,,,(CLX EXPO) M33T2 ,(CLX EXPO) DC-49  M33T2i4,"5,2",7,,False
(CLX EXPO) DC-50  M33T2i1,,,(CLX EXPO) M33T2 ,(CLX EXPO) DC-50  M33T2i1,"6,1,1",8,,False
(CLX EXPO) DC-51  M33T2i2,,,(CLX EXPO) M33T2 ,(CLX EXPO) DC-51  M33T2i2,4,4,,False
(CLX EXPO) DC-52  M33T4i3,,,(CLX EXPO) M33T4 ,(CLX EXPO) DC-52  M33T4i3,"1,3",4,,False
(CLX EXPO) DC-53 HATCH  M33T6i2,,,(CLX EXPO) M33T6 ,(CLX EXPO) DC-53 HATCH  M33T6i2,"1,1",2,HATCH,False
(CLX EXPO) DC-54 PLAZA ROLLUP  M33T6i1,,,(CLX EXPO) M33T6 ,(CLX EXPO) DC-54 PLAZA ROLLUP  M33T6i1,"1,2,1,1",5,,False
(CLX EXPO) DC-55 HATCH  M33T6i4,,,(CLX EXPO) M33T6 ,(CLX EXPO) DC-55 HATCH  M33T6i4,"3,1,6,3,1",14,HATCH,False
